id,Type,Prix,Ville
1,"Maison 5 pieces 218 m2","525 000",Tavira
2,"Maison 4 pieces 95 m2","276 082 ",Pacy-sur-Eure
3,"Maison 6 pieces 108 m2","459 900 ",Decines-Charpieu
4,"Maison 3 pieces 80 m2","118 000 ",Saint-Jean-de-Muzols
5,"Maison 10 pieces 320 m2","735 000 ",Ailly-sur-Noye
6,"Maison 5 pieces 115 m2","329 000 ",Vigy
7,"Maison 7 pieces 150 m2","314 000 ",Seremange-Erzange
8,"Maison 7 pieces 135 m2","162 000 ",Freistroff
9,"Maison 6 pieces 127 m2","389 700",Saint-Jean-de-Monts
10,"Maison 4 pieces 95 m2","168 000",Vendôme
11,"Maison 7 pieces 135 m2","439 800 ",",Le Grand-Village-Plage"
12,"Maison 5 pieces 95 m2","280 000",Laversines
